,Draw position,Team,Pot,Confederation,Method of qualification,Date of qualification,Finals appearance,Last appearance,Previous best performance,FIFA Rankings[3],FIFA Rankings[3]
,Draw position,Team,Pot,Confederation,Method of qualification,Date of qualification,Finals appearance,Last appearance,Previous best performance,March 2022[nb 1],October 2022
0,F1,Belgium,1,UEFA,UEFA Group E winners,13 November 2021,14th,2018,Third place (2018),2,2
1,F2,Canada,4,CONCACAF,CONCACAF Third Round winners,27 March 2022,2nd,1986,Group stage (1986),38,41
2,F3,Morocco,3,CAF,CAF Third Round winners,29 March 2022,6th,2018,Round of 16 (1986),24,22
3,F4,Croatia,2,UEFA,UEFA Group H winners,14 November 2021,6th,2018,Runners-up (2018),16,12
