,Draw position,Team[13],Pot,Confederation,Method of qualification,Date of qualification,Finals appearance,Last appearance,Previous best performance,FIFA Rankings[14],FIFA Rankings[14]
,Draw position,Team[13],Pot,Confederation,Method of qualification,Date of qualification,Finals appearance,Last appearance,Previous best performance,March 2022[nb 1],October 2022
0,B1,England,1,UEFA,UEFA Group I winners,15 November 2021,16th,2018,Winners (1966),5,5
1,B2,Iran,3,AFC,AFC Third Round Group A winners,27 January 2022,6th,2018,"Group stage (1978, 1998, 2006, 2014, 2018)",21,20
2,B3,United States,2,CONCACAF,CONCACAF Third Round third place,30 March 2022,11th,2014,Third place (1930),15,16
3,B4,Wales,4[nb 2],UEFA,UEFA Second Round Path A winners,5 June 2022,2nd,1958,Quarter-finals (1958),18[nb 2],19
