,Draw position,Team,Pot,Confederation,Method of qualification,Date of qualification,Finals appearance,Last appearance,Previous best performance,FIFA Rankings[3],FIFA Rankings[3]
,Draw position,Team,Pot,Confederation,Method of qualification,Date of qualification,Finals appearance,Last appearance,Previous best performance,March 2022[nb 1],October 2022
0,E1,Spain,1,UEFA,UEFA Group B winners,14 November 2021,16th,2018,Winners (2010),7,7
1,E2,Costa Rica,4[nb 2],CONCACAF,CONCACAF v OFC play-off winners,14 June 2022,6th,2018,Quarter-finals (2014),31[nb 2],31
2,E3,Germany,2,UEFA,UEFA Group J winners,11 October 2021,20th[nb 3],2018,"Winners (1954, 1974, 1990, 2014)",12,11
3,E4,Japan,3,AFC,AFC Third Round Group B runners-up,24 March 2022,7th,2018,"Round of 16 (2002, 2010, 2018)",23,24
