,Unnamed: 0,Pos,"Team.mw-parser-output .navbar{display:inline;font-size:88%;font-weight:normal}.mw-parser-output .navbar-collapse{float:left;text-align:left}.mw-parser-output .navbar-boxtext{word-spacing:0}.mw-parser-output .navbar ul{display:inline-block;white-space:nowrap;line-height:inherit}.mw-parser-output .navbar-brackets::before{margin-right:-0.125em;content:""[ ""}.mw-parser-output .navbar-brackets::after{margin-left:-0.125em;content:"" ]""}.mw-parser-output .navbar li{word-spacing:-0.125em}.mw-parser-output .navbar a>span,.mw-parser-output .navbar a>abbr{text-decoration:inherit}.mw-parser-output .navbar-mini abbr{font-variant:small-caps;border-bottom:none;text-decoration:none;cursor:inherit}.mw-parser-output .navbar-ct-full{font-size:114%;margin:0 7em}.mw-parser-output .navbar-ct-mini{font-size:114%;margin:0 4em}vte",Pld,W,D,L,GF,GA,GD,Pts,Qualification
1,1,2,Senegal,3,2,0,1,5,4,+1,6,Advance to knockout stage
3,1,2,United States,3,1,2,0,2,1,+1,5,Advance to knockout stage
5,1,2,Argentina,2,1,0,1,3,2,+1,3,Advance to knockout stage
7,1,2,Australia,3,2,0,1,3,4,−1,6,Advance to knockout stage
9,1,2,Japan,2,1,0,1,2,2,0,3,Advance to knockout stage
11,1,2,Morocco,2,1,1,0,2,0,+2,4,Advance to knockout stage
13,1,2,Switzerland,2,1,0,1,1,1,0,3,Advance to knockout stage
15,1,2,Ghana,2,1,0,1,5,5,0,3,Advance to knockout stage
