,Draw position,Team,Pot,Confederation,Method of qualification,Date of qualification,Finals appearance,Last appearance,Previous best performance,FIFA Rankings[3],FIFA Rankings[3]
,Draw position,Team,Pot,Confederation,Method of qualification,Date of qualification,Finals appearance,Last appearance,Previous best performance,March 2022[nb 1],October 2022
0,H1,Portugal,1,UEFA,UEFA Second Round Path C winners,29 March 2022,8th,2018,Third place (1966),8,9
1,H2,Ghana,4,CAF,CAF Third Round winners,29 March 2022,4th,2014,Quarter-finals (2010),60,61
2,H3,Uruguay,2,CONMEBOL,CONMEBOL Round Robin third place,24 March 2022,14th,2018,"Winners (1930, 1950)",13,14
3,H4,South Korea,3,AFC,AFC Third Round Group A runners-up,1 February 2022,11th,2018,Fourth place (2002),29,28
